filename,width,height,class,xmin,ymin,xmax,ymax



103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,cancer,95,74,235,224
103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,cancer,220,17,242,59
103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,no cancer,445,63,510,155
103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,no cancer,87,343,191,436
103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,no cancer,205,359,290,422
103_jpg.rf.001f2572d1a80c3606d11bebd15cd34a.jpg,640,640,no cancer,436,275,628,500
261_jpg.rf.0013ff401908d1d12cc33246196c0e86.jpg,640,640,cancer,503,467,526,497
261_jpg.rf.0013ff401908d1d12cc33246196c0e86.jpg,640,640,no cancer,69,522,130,570
261_jpg.rf.0013ff401908d1d12cc33246196c0e86.jpg,640,640,cancer,451,36,581,325
261_jpg.rf.0013ff401908d1d12cc33246196c0e86.jpg,640,640,cancer,165,1,361,201

420_jpg.rf.00266bbb919fae8aeca9060576400cea.jpg,640,640,cancer,337,112,370,141
420_jpg.rf.00266bbb919fae8aeca9060576400cea.jpg,640,640,no cancer,31,33,231,205
420_jpg.rf.00266bbb919fae8aeca9060576400cea.jpg,640,640,cancer,363,431,542,483

1_jpg.rf.003039dc73479d6571f5a5768f1b340a.jpg,640,640,no cancer,277,176,422,369
409_jpg.rf.002989d082190b74035fceb37488eb15.jpg,640,640,cancer,126,307,212,457
409_jpg.rf.002989d082190b74035fceb37488eb15.jpg,640,640,no cancer,456,480,561,556



dataset_figure1_jpg.rf.003d3167b9cf1ce5a77f16b2f71402ca.jpg,640,640,cancer,307,277,368,382



190_jpg.rf.00383850bdfe2fd4b495da81016bff6a.jpg,640,640,cancer,607,175,640,203
190_jpg.rf.00383850bdfe2fd4b495da81016bff6a.jpg,640,640,cancer,375,176,403,210
190_jpg.rf.00383850bdfe2fd4b495da81016bff6a.jpg,640,640,cancer,423,359,454,405
190_jpg.rf.00383850bdfe2fd4b495da81016bff6a.jpg,640,640,no cancer,93,282,288,387

33_nc_jpg.rf.0034dd07f6f34387fc4d29fcc435cc1a.jpg,640,640,no cancer,328,113,468,271
33_nc_jpg.rf.0034dd07f6f34387fc4d29fcc435cc1a.jpg,640,640,no cancer,107,51,148,357
33_nc_jpg.rf.0034dd07f6f34387fc4d29fcc435cc1a.jpg,640,640,cancer,319,542,381,627
33_nc_jpg.rf.0034dd07f6f34387fc4d29fcc435cc1a.jpg,640,640,no cancer,72,513,127,608



162_nc_jpg.rf.005e35495faa4a9c3086e8bda130bdb7.jpg,640,640,no cancer,0,0,209,256
162_nc_jpg.rf.005e35495faa4a9c3086e8bda130bdb7.jpg,640,640,no cancer,546,142,639,234
162_nc_jpg.rf.005e35495faa4a9c3086e8bda130bdb7.jpg,640,640,no cancer,28,425,187,518
162_nc_jpg.rf.005e35495faa4a9c3086e8bda130bdb7.jpg,640,640,cancer,422,390,465,472
162_nc_jpg.rf.005e35495faa4a9c3086e8bda130bdb7.jpg,640,640,cancer,415,481,441,525


